trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.8, 'e': 0.0005408328826392645}",30,22,-25.81159303658578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.8, 'e': 0.0005165289256198347}",25,11,25.16037386079735,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.0004938271604938272}",20,8,-3.6310751941183383,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.0004725897920604915}",20,0,21.030397187317153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.0004526935264825713}",30,12,29.61719350791003,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.00043402777777777775}",25,0,11.315365597603964,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.00041649312786339027}",25,18,13.264465923263446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.0004}",30,20,14.857607723024591,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.00038446751249519417}",20,3,29.17359424283871,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.0003698224852071006}",25,7,17.071742721076923,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.000355998576005696}",30,9,33.91299114179667,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.0003429355281207133}",20,5,22.820447661507345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.00033057851239669424}",20,1,17.443368433755737,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.00031887755102040814}",20,0,24.112462025845808,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.0003077870113881194}",25,0,29.644933892086485,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.00029726516052318666}",20,9,18.94604294405682,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.0002872737719046251}",25,20,7.193839973874043,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.0002777777777777778}",20,0,22.71091467778351,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.0002687449610319806}",20,0,29.362280345943383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.00026014568158168577}",20,1,30.444575581064598,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.0002519526329050139}",30,0,28.981827052063036,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.000244140625}",30,0,46.3383501453281,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.8, 'e': 0.00023668639053254438}",25,8,25.3003951030512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.0002295684113865932}",25,18,12.489907131878715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.00022276676319893073}",20,1,15.819943571384252,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.00021626297577854672}",25,0,41.92258285702672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.00021003990758244065}",30,20,21.251958306772682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.00020408163265306123}",20,8,19.07587679928706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.00019837333862328903}",20,0,25.448114979887414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.00019290123456790122}",20,14,11.357749248186861,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.00018765246762994934}",30,18,-17.88491297198489,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.8, 'e': 0.00018261504747991235}",20,5,23.292022835135832,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.00017777777777777779}",20,0,8.880217950367737,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.00017313019390581717}",20,9,19.609847770249985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.00016866250632484398}",25,7,34.12613247658585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.0001643655489809336}",20,12,17.77157044366022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.0001602307322544464}",25,0,-11.44054771074121,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.00015625}",20,6,21.257869030789415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.00015241579027587258}",25,9,29.980041058654656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
